סוג	מה קורה	מי קורה	מתי קורה	תאריך
חימום רקדנים לקראת התחרות	הופעה	Warm up	19:30	26.8.25
	סוף הופעה	Warm up	20:15	26.8.25
סינונים - כל רקדן מבצע כניסה של דקה. 16 מתמודדים עוברים לשלב הבא.	הופעה	Preliminary Rounds	20:15	26.8.25
	סוף הופעה	Preliminary Rounds	21:15	26.8.25
קרבות יחידים - 16 רקדנים מתמודדים זוגות. המנצחים עוברים הלאה.	הופעה	All styles Top 16	21:15	26.8.25
	סוף הופעה	All styles Top 16	22:00	26.8.25
השלבים הסופיים של התחרות והכרזה על המנצח.	הופעה	Finals	22:00	26.8.25
	סוף הופעה	Finals	23:00	26.8.25
חימום רקדנים לקראת התחרות	הופעה	Warm up	19:30	27.8.25
	סוף הופעה	Warm up	20:15	27.8.25
סינונים - כל רקדן מבצע כניסה של דקה. 16 מתמודדים עוברים לשלב הבא.	הופעה	Preliminary Rounds	20:15	27.8.25
	סוף הופעה	Preliminary Rounds	21:15	27.8.25
מעגל ריקוד חופשי	הופעה	Cypher	21:15	27.8.25
	סוף הופעה	Cypher	21:30	27.8.25
קרבות רצופים - 8 רקדנים, 45 דקות. המנצח: 7 נצחונות או הכי הרבה נצחונות בזמן.	הופעה	Finals	21:30	27.8.25
	סוף הופעה	Finals	22:20	27.8.25
קרב תערוכה - הדור הוותיק של ברייקדאנס בבאר שבע נגד הדור הצעיר.	הופעה	Old School VS Young Guns Exhibition Battle	22:20	27.8.25
	סוף הופעה	Old School VS Young Guns Exhibition Battle	23:00	27.8.25
חימום רקדנים לקראת התחרות	הופעה	Warm up	19:30	28.8.25
	סוף הופעה	Warm up	20:15	28.8.25
סינונים בזוגות - זוגות רקדנים מתמודדים. 16 הזוגות הטובים עוברים הלאה.	הופעה	Preliminary Rounds	20:15	28.8.25
	סוף הופעה	Preliminary Rounds	21:15	28.8.25
קרבות זוגות - 16 זוגות מתמודדים. המנצחים עוברים לשלב הבא.	הופעה	Breaking - Top 16	21:15	28.8.25
	סוף הופעה	Breaking - Top 16	22:00	28.8.25
השלבים הסופיים של התחרות והכרזה על הזוגות המנצחים.	הופעה	Finals	22:00	28.8.25
	סוף הופעה	Finals	23:00	28.8.25
