סוג	מה קורה	מי קורה	מתי קורה	תאריך
חימום המנועים ושימון השרירים של הרקדנים לקראת התחרות 	הופעה	Warm up	19:30	26.8.25
	סוף הופעה	Warm up	20:15	26.8.25
לכל רקדן יש כדקה לבצע כניסת ריקוד שתסחוף את הקהל ובעיקר את הצוות המקצועי ולאחר שכל המועמדים ינסו את מזלם ויפגינו את הכישרון שלהם רק 16 מתמודדים מתוכם יעלו לשלב הבא	הופעה	Preliminary Rounds	20:15	26.8.25
	סוף הופעה	Preliminary Rounds	21:15	26.8.25
לאחר שנבחרו 16 רקדנים שעוברים לשלב הבא, כל רקדן מוגרל להתמודד מול רקדן אחר, המנצח ממשיך לשלב הבא והמפסיד? מודח מהתחרות	הופעה	All styles Top 16	21:15	26.8.25
	סוף הופעה	All styles Top 16	22:00	26.8.25
השלבים הסופיים של התחרות ובסופם נכריז על המנצח של התחרות 	הופעה	Finals	22:00	26.8.25
	סוף הופעה	Finals	23:00	26.8.25
חימום המנועים ושימון השרירים של הרקדנים לקראת התחרות 	הופעה	Warm up	19:30	27.8.25
	סוף הופעה	Warm up	20:15	27.8.25
לכל רקדן יש כדקה לבצע כניסת ריקוד שתסחוף את הקהל ובעיקר את הצוות המקצועי ולאחר שכל המועמדים ינסו את מזלם ויפגינו את הכישרון שלהם רק 16 מתמודדים מתוכם יעלו לשלב הבא	הופעה	Preliminary Rounds	20:15	27.8.25
	סוף הופעה	Preliminary Rounds	21:15	27.8.25
מעגל ריקוד חופשי	הופעה	Cypher	21:15	27.8.25
	סוף הופעה	Cypher	21:30	27.8.25
המקצה של היום הוא לא מקצה רגיל, 45 דקות רצופות של קרבות יחידים, במקצה זה עולים משלב הסינונים 8 רקדנים בלבד 2 רקדנים מתחרים זה בזה ו6 רקדנים עומדים בטור כאשר הקרב נגמר המנצח נשאר במקומו ממתין למועמד הבא והמפסיד חוזר לסוף הטור מחכה לתורו שוב. ההכרזה על המנצח היא הראשון שמגיע ל7 נצחונות ב7 קרבות או המועמד עם הכי הרבה נצחונות בתום הזמן (45 דקות) 	הופעה	Finals	21:30	27.8.25
	סוף הופעה	Finals	22:20	27.8.25
הוותיקים של העיר הדור הישן שהתחיל את הברייקדאנס בבאר שבע ופיתח אותו למה שהוא היום נגד הדור הצעיר של העיר שממשיך לדחוף לקדם ולהתקדם בצעדי ענק אז מה יהיה פה? האם הדור הוותיק ילמד את הצעירים עוד שיעור או שנראה פה מקרה קלאסי של "התלמיד התעלה על המורה"	הופעה	Old School VS Young Guns Exhibition Battle	22:20	27.8.25
	סוף הופעה	Old School VS Young Guns Exhibition Battle	23:00	27.8.25
חימום המנועים ושימון השרירים של הרקדנים לקראת התחרות 	הופעה	Warm up	19:30	28.8.25
	סוף הופעה	Warm up	20:15	28.8.25
שלב הסינונים במקצה הזה יתנהל קצת אחרת, בכל פעם יעלו 2 זוגות רקדנים לקרב מדומה כל זוג יקבל ניקוד אצל השופטים בסוף כל קרבות הסינונים יעפילו לשלב הקרבות 16 הזוגות עם הניקוד הגבוה ביותר	הופעה	Preliminary Rounds	20:15	28.8.25
	סוף הופעה	Preliminary Rounds	21:15	28.8.25
לאחר שנבחרו 16 זוגות שעוברים לשלב הבא, כל זוג מוגרל להתמודד מול זוג אחר, המנצחים ממשיכים לשלב הבא והמפסידים? מודחים מהתחרות	הופעה	Breaking - Top 16	21:15	28.8.25
	סוף הופעה	Breaking - Top 16	22:00	28.8.25
השלבים הסופיים של התחרות ובסופם נכריז על המנצחים של התחרות 	הופעה	Finals	22:00	28.8.25
	סוף הופעה	Finals	23:00	28.8.25
