סוג	מה קורה	מי קורה	מתי קורה	תאריך
יצירת מחול של היוצרת רון דורפמן	הופעה	רון דורפמן - FOMO 	20:15	26.8.25
	סוף הופעה	רון דורפמן - FOMO 	20:18	26.8.25
יצירת מחול של היוצרת נעה דר	הופעה	נעה דר - ארץישובחילדומם	20:25	26.8.25
	סוף הופעה	נעה דר - ארץישובחילדומם	20:58	26.8.25
יצירת מחול של היוצרת נעה דר - נעמי כץ  'M I U (AM I YOU)' מנווט את הרווח הלימינלי בין החזקה לשחרור. היא נעה דרך אהבה ושנאה, חיים ומוות, המשקל של מה שיכול היה להיות והיעדר מה שכבר אבוד. היצירה מתפתחת כמחזוריות - הגעה, התנגדות, כניעה - הלוכדת את המאבק הגולמי של הפרידה. בבסיסה, העבודה משקפת את הצורך שלנו בחיבור - כיצד אנו נשענים, מחזיקים ומתמזגים כדי להקל על הכאב שלנו, רק כדי להסתבך בעצם הקשר שאנו מבקשים לשבור. האם אי פעם נוכל להרפות באמת, או שאנחנו פשוט מעצבים מחדש את ההחזקות שלנו, נושאים עקבות אחד של השני קדימה 	הופעה	נעמי כץ - M I U (AM I YOU)	21:05	26.8.25
	סוף הופעה	נעמי כץ - M I U (AM I YOU)	21:25	26.8.25
יצירת מחול של היוצרת שקד מוכיח יצירה בימתית ל5 רקדנים, 3 בובות ונעלמים נוספים גם מבלי לזכור את מה שאבד - אנחנו מתגעגעים יוצרים בבואות שלנו, בתקווה לפגוש את החסר אנחנו אל מול החומר, מרוקן מסיפורים מפיחים בו את מה שעוד אפשר	הופעה	שקד מוכיח - פנטום; החיים כגעגוע	21:30	26.8.25
	סוף הופעה	שקד מוכיח - פנטום; החיים כגעגוע	22:10	26.8.25
יצירת מחול של היוצרת אווה אסאילוב	הופעה	אווה אסאילוב - רצית להגיד לי משהו?	20:15	27.8.25
	סוף הופעה	אווה אסאילוב - רצית להגיד לי משהו?	20:18	27.8.25
יצירת מחול של היוצרת רותם גרינברג במגרש שבו חוקי המשחק הם להמשיך לתת את המשקל שלנו,  אנו מפרקות ומנסות על גופנו דימויים של אמון וביטחון אל מול ניפוץ והשבירה שלהם,  חובטות ונחבטות אך מתמידות בעקשנות על ניסיון תמים להתקרב, להישען ולהרגיש.	הופעה	KEEP ON BEATING  - רותם גרינברג	20:23	27.8.25
