סוג	מה קורה	מי קורה	מתי קורה	תאריך
מופע לילדים - "צמרות של אנשים" עם אלינור בר ורן בגנו. שירים מהספר האהוב במופע מקורי.	הופעה	צמרות של אנשים	19:45	26.8.25
	סוף הופעה	צמרות של אנשים	20:45	26.8.25
להקה - להקת כפיים עם גרוב ים תיכוני-בלקני משגע. חמישה חברים שאוהבים לשמח.	הופעה	להקת כפיים	20:55	26.8.25
	סוף הופעה	להקת כפיים	21:20	26.8.25
זמר יוצר - תומר ישעיהו עם ההיטים "ברזלים אבק", "שיר של קיץ" ו"סוסים יפים". גרוב ים תיכוני.	הופעה	תומר ישעיהו	21:30	26.8.25
	סוף הופעה	תומר ישעיהו	22:30	26.8.25
הצגה לילדים - "סיפורים מתוך השקט" עם פנטומימה וכלי ממטבח מרקדים. מופע מקסים ויצירתי.	הופעה	סיפורים מתוך השקט	19:30	27.8.25
	סוף הופעה	סיפורים מתוך השקט	20:15	27.8.25
הצגת תיאטרון - תיאטרון הקומץ מבאר שבע עם "חוזרים לשכונה". רגעים מהתיאטרון המודרני.	הופעה	תיאטרון הקומץ - חוזרים לשכונה	20:25	27.8.25
	סוף הופעה	תיאטרון הקומץ - חוזרים לשכונה	20:55	27.8.25
להקה - Moses Brass Bend עם פאנק, גרוב וים של כלי נשיפה.	הופעה	Moses Brass Bend	21:00	27.8.25
	סוף הופעה	Moses Brass Bend	21:30	27.8.25
ראפר - כהן (מיכאל) עם האלבום "מה שאפשר ממה שנשאר". מצמד כהן ומושון לשעבר.	הופעה	כהן	21:40	27.8.25
	סוף הופעה	כהן	22:40	27.8.25
הצגה מוזיקלית לילדים - "בחזרה לשכונה של סבא" עם שירי להקת התרנגולים בעיבודים חדשים.	הופעה	בחזרה לשכונה של סבא	19:45	28.8.25
	סוף הופעה	בחזרה לשכונה של סבא	20:45	28.8.25
להקה - Brasstet מביאים את האנרגיה של ניו אורלינס לפסטיבל.	הופעה	Brasstet	20:55	28.8.25
	סוף הופעה	Brasstet	21:20	28.8.25
להקה - בלובנד חוזרת לבמה אחרי 25 שנה. איחוד מיוחד לפסטיבל עם דויד פרץ.	הופעה	בלובנד	21:30	28.8.25
	סוף הופעה	בלובנד	22:30	28.8.25
