סוג	מה קורה	מי קורה	מתי קורה	תאריך
מופע לילדים - השירים מתוך הספר האהוב 'צמרות של אנשים' זכו ללחנים ועיבודים חכמים ומרגשים והפכו לאלבום ומופע מוזיקלי איכותי ומקורי שפותח פתח רחב אל תוך נפשם וליבם של ילדים ומבוגרים כאחד. מלטף, נוגע, מרגש, מצחיק, צובט ובעיקר משאיר חותם שילך עם כל מי שצפה בו, הרבה אחרי שהמופע יסתיים. עם המילים המדויקות והמרגשות של אלינור בר, לחנים מופלאים של רן בגנו (זוכה פרס אופיר) ויהונתן פרלמן (אינתה עומרי, פיאף, צלילי המוזיקה, בוב ספוג המחזמר ועוד..), ועיבודים מוזיקליים כובשים, אנחנו מזמינים אתכם להתרגש איתנו יחד ולחוות שעה קסומה שעושה כבוד לאינטליגנציה של הילדים והמבוגרים, ומספקת מופע מוזיקלי שנון, מרגש וחד פעמי.	הופעה	צמרות של אנשים	19:45	26.8.25
	סוף הופעה	צמרות של אנשים	20:45	26.8.25
להקה - להקת כפיים הם חמישה חברים שאוהבים לשמוח ולשמח גרוב ים תיכוני-בלקני משגע	הופעה	להקת כפיים	20:55	26.8.25
;	סוף הופעה	להקת כפיים	21:20	26.8.25
אמן יוצר - אחרי שנה סוערת של סיבובי הופעות, שיתופי פעולה ויצירה בלתי פוסקת - תומר מגיע לערב שכולו חגיגה מוזיקלית ישראלית. על הבמה: גרוב ים תיכוני, צלילים מהפנטים, קצב ומילים שנכנסות ישר ללב וביצועים חיים לשירים שכבר הפכו להמנונים:"ברזלים אבק", "שיר של קיץ", "סוסים יפים", "זמן פריז", "בוקר טוב", "יום אחד", "ענבים", "יניב", "קצת כל הזמן" ועוד רבים וטובים.. תומר ישעיהו אחד היוצרים הפוריים והאהובים של השנים האחרונות - עם חתימה מוזיקלית ייחודית שמחברת בין מזרח למערב, בין חלום למציאות.	הופעה	תומר ישעיהו 	21:30	26.8.25
	סוף הופעה	תומר ישעיהו 	22:30	26.8.25
הצגה לילדים מספרת סיפורים מתוקה ומבולבלת מנסה לשלב בין אפיית פשטידה לסיפור סיפורים ונשאבת לתוך הרפתקה עם כלי ממטבח מרקדים, כוסות תה קסומות וחבר ילדות אחד מופלא במיוחד.ההצגה “סיפורים מתוך השקט” מתארת את חווית הקסם שבפנטומימה ומתשעשעת ביכולת המופלאה של בני אדם בכלל וילדים בפרט להתבטא בדרכים מיוחדות ויצירתיות.המוזיקה המיוחדת שנכתבה במיוחד לקטעי הפנטומימה מעירה לחיים חפצים דוממים והדבר מעמיק את תחושת הקסם המתחבא, כך נדמה, בכל פינה.	הופעה	סיפורים מתוך השקט	19:30	27.8.25
	סוף הופעה	סיפורים מתוך השקט	20:15	27.8.25
הצגת תיאטרון - תיאטרון הקומץ הוא תיאטרון חדשני שהוקם בבאר שבע ומופיע בכל הארץ. התיאטרון משתמש במינימום האפשרי בשביל לייצר חווית תיאטרון מלאה לגמרי בכל חלל אפשרי, ומחזירים עטרה ליושנה באמנות המרוממת את הנפש ומפעילה את דמיון הצופים.בתיאטרון משחקים אמנים ויוצרים מהדרום, והוא נוצר כדי לתת מענה אומנותי ליוצרים עצמאיים בנגב.הקומץ סוקר במשך כל הקיץ את תולדות התיאטרון מהעת העתיקה ועד ימינו אנו, בסדרת הצגות בעתיקה. במופע האחרון, שיערך בפסטיבל סמילנסקי, נבצע רגעים משמעותיים מתוך התיאטרון המודרני.	הופעה	תיאטרון הקומץ - חוזרים לשכונה	20:25	27.8.25
	סוף הופעה	תיאטרון הקומץ - חוזרים לשכונה	20:55	27.8.25
להקה - פאנק, גרוב, וים של כלי נשיפה	הופעה	Moses Brass Bend	21:00	27.8.25
	סוף הופעה	Moses Brass Bend	21:30	27.8.25
ראפר - כהן (מיכאל) ראפר, מפיק, די ג'יי ובעל לייבל היפ הופ ישראלי.התחיל את דרכו כחצי מצמד ההיפ הופ המוכר והמשפיע כהן ומושון (יחד עם מיכאל מושונוב) וכמפיק מוסיקלי מצליח (פלד, פלוטניק, סימה נון, מיכאל סוויסה, עדן דרסו ערוץ הכיבוד ועוד) לאחר מס' אלבומיEP ופרויקטים שונים הוציא לאחרונה את אלבומו המלא הראשון "מה שאפשר ממה שנשאר" מתוכו מושמע ברדיו השיר "שמיניות" ( פלייליסט מלא)אחרי שנים של ניסיון, כהן מביא את כל מה שיש לו לשולחן - הטאצ' הפופי הקליט שפוגש הפקות היפ הופ איכותיות וחדשניות, השנינות המגניבה שפוגשת כנות מרגשת, והופעה מלאת אנרגיה שתשאיר טעם של עוד.	הופעה	כהן	21:40	27.8.25
	סוף הופעה	כהן	22:40	27.8.25
הצגה מוזיקלית לילדים - בחזרה לשכונה של סבאהצגה מוזיקלית בליווי שירי להקת התרנגולים סיפור הרפתקאות חוצה זמנים ושכונות, מלווה בשירים הנפלאים של להקת התרנגולים בעיבודים חדשים ומפתיעים	הופעה	בחזרה לשכונה של סבא	19:45	28.8.25
	סוף הופעה	בחזרה לשכונה של סבא	20:45	28.8.25
להקה - מביאים את האנרגיה של ניו אורלינס לפסטיבל	הופעה 25 דק	Brasstet	20:55	28.8.25
	סוף הופעה	Brasstet	21:20	28.8.25
