סוג	מה קורה	מי קורה	מתי קורה	תאריך
להקה איירו מחיפה, שהוציאו השנה את אלבום הבכורה 'פחד מוות' תחת הלייבל הישראלי "קודם רקורדס", אוהבים לנגן אקורדים מוזרים, ואוהבים לנגן אותם חזק. עם סאונד גראז' רוק / פוסט-פאנק רבייבל בועט, וליריקה אנושית ואינטימית, איירו מופיעים ברחבי הארץ ומוציאים את הפחד מהמוות החוצה.הלהקה, שמורכבת מחברים טובים, סוחפת את הקהל עם כימיה ואנרגיה גבוהה במהלך ההופעה, ונותנת לשירים המוקלטים חיים חדשים. האלבום שיצא בפברואר האחרון זכה לאהדה בסצנה בארץ, ושירים ממנו אף נוגנו ברדיו (גל"צ, כאן88 ועוד').	הופעה	איירו	20:15	26.8.25
	סוף הופעה	איירו	20:45	26.8.25
ראפר זיו שביט הוא אחד הקולות הכי מסקרנים שצמחו בסצנת ההיפ הופ הישראלית בשנים האחרונות. ראפר, כותב ויוצר ששם את הלב על השולחן - בלי מסכות ובלי קלישאות. יליד חולון, שביט התחיל את דרכו עוד בגיל ההתבגרות ועם הזמן פיתח סאונד אישי שמחבר בין ראפ קלאסי לאלמנטים מודרניים. הוא בונה עולמות דרך המילים עם שפה ישירה, חדה ומלאת רגש.	הופעה	זיו שביט	20:55	26.8.25
	סוף הופעה	זיו שביט	21:15	26.8.25
דוד לב ארי הוא זמר ומוזיקאי מאשדוד שיוצר בסגנון אפרוביט ומוזיקת עולם עם השפעות יהודיות מסורתיות וים תיכוניות.	הופעה	דוד לב ארי	21:25	26.8.25
	סוף הופעה	דוד לב ארי	21:45	26.8.25
להקה - ימן בלוז ארבעת חברי הימן בלוז במופע לרגל צאת אלבומם החדש Only Love Remains שזכה לתשבחות מהמגזין החשוב Relix לאחר סיבוב הופעות בארה"ב ואירופה.רביד כחלני, שניר בלומנקרץ, רוני עברין, דן מאיו.עם תמהיל החד פעמי שלהם המשלב מוסיקה תימנית, פאנק, בלוז, מוסיקה ערבית קלאסית, רוק, פסיכדליה וג'אז - ימן בלוז עושים מה שהם עושים כבר מעל ל 14 שנה בכל מקום בעולם כ. עם שלושה אלבומי אולפן ומעל ל 1000 הופעות ברחבי העולם כולל פסטיבלים יוקרתיים כמו Roskilde בדנמרק, Globalfest בקנדה ורבים אחרים, Yemen Blues הפכו לאבן דרך במוסיקת העולם, כזו שמעצבת ומאתגרת את הז'אנר. רביד שמעולם לא למד מוסיקה בצורה ממסדית מביא להרכב בנוסף למוסיקליות וכריזמה בימתית בלתי סבירה, את הדי.אן.איי המוסיקלי שלו המתבסס מצד אחד על מוסיקה תימנית מסורתית, לצד מוסיקה שחורה (על גווניה), ג'אז ועוד. בשנים האחרונות החיבור של רביד עם שניר בלומנקרנץ (ארה"ב) הביא צבעים נוספים לתמהיל הייחודי של Yemen Blues מה שבא לביטוי באלבום כמו גם על הבמה.	הופעה	Yemen Blues	22:00	26.8.25
	סוף הופעה	Yemen Blues	23:00	26.8.25
להקה - תבואו ותראו	הופעה	Kvisa	20:15	27.8.25
	סוף הופעה	Kvisa	20:40	27.8.25
